time,mass,radius,x,y,z,x-velocity,y-velocity,z-velocity,x-acceleration,y-acceleration,z-acceleration,x-force,y-force,z-force
185512,7.349999999999999e+22,1700000.0,311933551.0839856,183235919.02145904,0.0,-537.5381266419928,889.4898675443216,0.0,-0.002619162488594118,-0.0015605038354320545,0.0,-1.9250844291166765e+20,-1.1469703190425598e+20,0.0
189112,7.349999999999999e+22,1700000.0,309981485.72646564,186427916.615356,0.0,-546.9381839943654,883.8224812905669,0.0,-0.002603052926871613,-0.0015880025508692244,0.0,-1.9132439012506354e+20,-1.1671818748888798e+20,0.0
192712,7.349999999999999e+22,1700000.0,307995685.11083144,189599333.86788502,0.0,-556.2797331908336,878.0563851070378,0.0,-0.0025866583490215104,-0.0016153422937658752,0.0,-1.90119388653081e+20,-1.1872765859179181e+20,0.0
196312,7.349999999999999e+22,1700000.0,305976361.7092886,192749816.45908242,0.0,-565.5617507090302,872.1921564748554,0.0,-0.0025699801675181434,-0.0016425201894560274,0.0,-1.8889354231258353e+20,-1.2072523392501801e+20,0.0
199912,7.349999999999999e+22,1700000.0,303923731.669512,195879012.16651377,0.0,-574.7832181606038,866.2303832075781,0.0,-0.0025530198221102827,-0.0016695333723974963,0.0,-1.8764695692510577e+20,-1.2271070287121596e+20,0.0
203512,7.349999999999999e+22,1700000.0,301838014.7959955,198986570.9024143,0.0,-583.9431223894609,860.1716634179447,0.0,-0.0025357787798430402,-0.0016963789863918407,0.0,-1.8637974031846343e+20,-1.2468385549980028e+20,0.0
207112,7.349999999999999e+22,1700000.0,299719434.53103113,202072144.75070018,0.0,-593.0404555700496,854.0166054838592,0.0,-0.002518258535079211,-0.0017230541848070264,0.0,-1.85092002328322e+20,-1.2664448258331643e+20,0.0
210712,7.349999999999999e+22,1700000.0,297568217.9353494,205135388.00386417,0.0,-602.0742153057626,847.7658280135275,0.0,-0.0025004606095194414,-0.0017495561308024212,0.0,-1.8378385479967893e+20,-1.2859237561397794e+20,0.0
214312,7.349999999999999e+22,1700000.0,295384595.6683913,208175957.19973904,0.0,-611.0434047273778,841.4199598098014,0.0,-0.0024823865522216244,-0.0017758819975565233,0.0,-1.8245541158828936e+20,-1.3052732682040445e+20,0.0
217912,7.349999999999999e+22,1700000.0,293168801.9682389,211193511.15813392,0.0,-619.9470325915744,834.9796398337108,0.0,-0.002464037939619086,-0.001802028968497094,0.0,-1.811067885620028e+20,-1.324491291845364e+20,0.0
221512,7.349999999999999e+22,1700000.0,290921074.6311776,214187711.01733562,0.0,-628.7841133795339,828.4455171671295,0.0,-0.0024454163755378054,-0.001827994237534042,0.0,-1.7973810360202868e+20,-1.3435757645875208e+20,0.0
225112,7.349999999999999e+22,1700000.0,288641654.9909182,217158220.27047622,0.0,-637.553667395556,821.8182509746277,0.0,-0.0024265234912123038,-0.0018537750092947425,0.0,-1.783494766041043e+20,-1.3625246318316356e+20,0.0
228712,7.349999999999999e+22,1700000.0,286330787.8974456,220104704.80176032,0.0,-646.2547208657784,815.0985104644603,0.0,-0.0024073609453004333,-0.0018793684993622009,0.0,-1.7694102947958184e+20,-1.3813358470312175e+20,0.0
232312,7.349999999999999e+22,1700000.0,283988721.6955392,223026832.92255336,0.0,-654.8863060369124,808.2869748486866,0.0,-0.0023879304238965922,-0.0019047719345155138,0.0,-1.755128861563995e+20,-1.4000073718689025e+20,0.0
235912,7.349999999999999e+22,1700000.0,281615708.20290333,225924275.40731758,0.0,-663.4474612750431,801.3843333024337,0.0,-0.002368233640543894,-0.0019299825529734155,0.0,-1.740651725799762e+20,-1.4185371764354603e+20,0.0
239512,7.349999999999999e+22,1700000.0,279212002.68796897,228796705.52940863,0.0,-671.9372311644609,794.3912849222714,0.0,-0.002348272336244548,-0.001954997604640158,0.0,-1.7259801671397425e+20,-1.436923239410516e+20,0.0
243112,7.349999999999999e+22,1700000.0,276777863.8473323,231643799.09671313,0.0,-680.3546666065265,787.308538683693,0.0,-0.002328048279468845,-0.001979814351354148,0.0,-1.7111154854096008e+20,-1.4551635482452985e+20,0.0
246712,7.349999999999999e+22,1700000.0,274313553.7828257,234465234.48713917,0.0,-688.6988249185833,780.1368133977087,0.0,-0.002307563266162509,-0.0020044300671394214,0.0,-1.696059000629444e+20,-1.4732560993474747e+20,0.0
250312,7.349999999999999e+22,1700000.0,271819337.97825605,237260692.68393853,0.0,-696.9687699328662,772.8768376665065,0.0,-0.0022868191197523108,-0.002028842038459517,0.0,-1.6808120530179483e+20,-1.4911988982677448e+20,0.0
